rating,review
__label__5 ,jeg elsker zaladnozalando har så mange forskellige god mærker og noget for en hver smag  kan kun anbefale dem køb køb køb
__label__4 ,handlet flere gange. gode produkter  nemt at bestille og nemt at returnere.
__label__5 ,alt til ug. billige priser. nem returnering. samme pose og returlabel  så man ikke skal finde printer.
__label__2 ,hej betalt min regning ( troede jeg) den var åbenbart ikke gået igennem. skulle så betale 100kr ekstra ved 1 rykker - det er ok ved rykker nr 2  men ikke ved rykker nr 1- så nu finder jeg et andet sted at handle :-(
__label__5 ,super godt.hurtig levering  og fine priser.
__label__2 ,jeg har bestilt et par sandaler ved zalando og modtaget pakken i dag. da jeg modtager den  har de lagt en str. 36 i pakken i stedet for en str. 38  som var størrelsen der rigtigt var bestilt. de var købt til en ferie på søndag  så nu kan jeg selv betale for returnering  og ikke bruge sandalerne til noget som helst. irriterende når man køber en vare med formål  men at man i stedet så modtager noget helt andet…
__label__1 ,irriterende at få en rykker på 100 kr for manglende betaling  fordi de godt nok skriver de har modtaget ens retur (efter 400år) men opdatere det ikke… de skriver kun at de har ekstraordinært travlt :/
__label__3 ,har køb hos zalando i mange år og har været storforbruger. er dog efterhånden så irriteret over  at varerene nu kommer alle mulige steder fra som gør  at leveringstiden er sååå lang. samtidig er der flere og flere varer  der får klistret porto på 29 kr. på.oftere og oftere kommer jeg til udkassen  ser der er porto på nogle af varene og at de kommer i flere pakker og så gider jeg bare ikke handle og logger af...
__label__1 ,synes godt nok det er for dårligt at man betaler så mange penge for at tingene går i stykker bare én måned efter man har købt det. hvor er det dog ringe kvalitet af såkaldte “mærkevarer”
__label__1 ,nu har jeg oplevet flere gange hvor jeg bestiller en varer på tilbud hvor den ikke bliver leveret fordi zalando med vilje laver fejl i label  så postnord ikke kan levere deres pakke - så passer det med at man bliver trukket rundt i manegen i 1-2 uger inden at de skriver til dig at pakken er tabt og du vil få overført dine penge  men det sjove er så at tilbuddet på det stykke tøj jeg har bestilt er tilbuddet ophørt og du skal derfor købe varen til den fulde pris. zalando i er ganske enkelt til grin  håber karma må ramme jer en dag!! handler aldrig med jer igen. svindlere!
__label__1 ,indtil de skifter væk fra postnord handler jeg ikke her længere. gang på gang er mine ordrer forsinket med flere dage selvom levering forventes på specifik dato.
__label__1 ,har ligesom mange andre pludselig ikke mulighed for at betale på andre måder end med bankoverførsel. har ellers handlet mange gange på zalando  men nu mister de endnu en kunde. 
__label__1 ,handler aldrig her igen! sender rykker på noget der er betalt flere gange selvom man sender konto udtog!
__label__5 ,jeg havde bestilt en del tøj fra zalando  som jeg modtog løbende. herunder en jakke fra ekstern partner. denne returnerede jeg dog. jeg fik heldigvis en postkvittering på dette. efter knap to uger havde jeg stadig ikke hørt mere eller fået pengene refunderet. efter aftale med kundeservice fremsendte jeg kopi af min postkvittering. det viste sig at jakken ssv. var forsvundet under transporten. zalando skrev  at det jo ikke var min skyld  og de naturligvis refunderede beløbet for min jakke. super professionelt og zalando har i hvert fald fået en endnu mere loyal kunde i mig.
__label__5 ,postnord havde mistet min pakke  men heldigvis var zalando hurtig til at hjælpe og løse problemet
__label__1 ,dårligste service jeg har oplevet! dårlig personale som på ingen måde vil hjælpe og en ledelse som heller ikke ønsker at hjælpe. lad vær med at handle ved zalando!
