rating,review
__label__5 ,Super service  har handlet flere gange  har altid gode priser  kan varmt anbefales
__label__1 ,Kan kun give em stjerne for dette købsforløb. Bestiller 1 dags levering  varen kommer aldrig og pakke leverandøren  ved intet. Dag efter ringer jeg til Proshop  for at høre  hvorfor min pakke ikke er sendt og får et lidt flabet svar  at jeg har jo fået leveringen gratis. Derudover så giver han pakke leverandøren skylden  selvom problemet ligger ved dem selv. Dette finder jeg ud af  2 dage efter  da jeg igen ringer for at høre  hvor min pakke er henne. Nå den havde de sendt afsted med Post Danmark  men de ved ikke hvor hen. Amen hvor svært kan det være ? Proshop sender så en anden pakke  men med dags levering  men der jo nok en grund til  at jeg valgt aften levering  Så 5 dage efter min 1 dags levering  får jeg min pakke. Super godt  når man skulle bruge den for 4 dage siden.
__label__5 ,Fem stjerner for at lytte til en klage. Jeg returnerede et cover  som var gået i stykker efter 4 måneder. Først fik jeg at vide  at det ikke faldt under garantien  fordi det var fejlhåndteret  og man ville returnere produktet. Men efter mit svar  hvor jeg begrundede mit reklamation  fik jeg et nyt cover istedet. Det har jeg ikke oplevet før.
__label__4 ,De ting der blev leveret var ok    leveringstidspunktet blev dog rykket  lidt frem og tilbage   og man skulle selv tage kontakt til proshop   da en eller flere af produkterne blev vist som udgået og/eller længere leveringstid.  Kun 1 ud af den liste af ting jeg havde bestil var ikke på lager   så kunne man godt sende det afsted istedet for at skulll vente 1½ uge på afsendelse :)  Har allerede bestil ved proshop igen   da jeg synes det er en god side.
__label__5 ,ProShop havde bedste pris på det ønskede produkt  og det vat let og overskueligt at bestille via hjemmeside.Leverede klar og tydelig info under leveringsforløbet  hurtigt klar til afhentning.Afhentning på pickup point Kbh fungerer virkeligt superenkelt og professionelt.
__label__5 ,God pris!! Hurtig og præcis levering. Varen ok.
__label__5 ,Godt udvalg  gode priser og varerne kom dagen efter min bestilling.
__label__5 ,Hurtig og effektiv leverig. Varer som bestilt.
__label__5 ,Fedt med så hurtig en levering
__label__5 ,Proshop skuffer aldrig!Bestilte en vare fredag aften  lørdag morgen fik jeg en sms om at pakken var klar til afhentning. Virkelig hurtigt og effektivt.
__label__5 ,super servicelynhurtig leveringmeget fint det hele
__label__5 ,"Jeg har kun godt at sige om Proshop i forhold til denne levering og det er ""som det plejer""  og jeg kan roligt tage de ord i min mund  for jeg har været kunde hos Proshop i - jeg gætter på at det er stort set den tid de har været på nettet  hvor mange årtier det er...?Og fra første levering har tingene været i orden  og det er de stadigvæk  kan jeg konstatere  idet jeg for nogle uger siden foretog et køb af noget VR-udstyr  og alt forløb forbilledligt: Indkøb (laveste pris i DK og bestilling og betaling var nemt og problemfrit)  levering  varen kom hurtigt  var ordresvarende og i perfekt stand  returnering (jeg fortrød købet) af varen via Proshops aftale med Post Nord  registrering af og informering om modtagelse på lager - og sidst men ikke mindst afregning og indsættelse af pengene på min konto. Alt kørte uden friktion og helt som jeg kunne ønske det - nåja  de lod mig betale for forsendelsen den ene vej... Haha  det var for sjov. Ja jeg fik lov at betale det og nej  jeg er ikke utilfreds med det.Så: Tak Proshop. I slipper ikke af med mig. ;- )"
__label__5 ,Vild leverings tid. Bestilte Fredag morgen og fik varen leveret samme aften.
__label__4 ,Det var bare godt  hele vejen. Hilsen Elise og Bent Hansen
__label__3 ,Ordre nr. 49964389 blev ikke leveret til tiden .. Bestil inden kl. 18 søndag så har du din ordre dagen efter… øøøøhh nej .. den dukkede op om onsdagen … ikke godt nok
__label__5 ,Alletiders og nemt bedre end power da man slipper for at blive belemret med sælgere og bare bestiller hvad man har brug for
__label__1 ,Det må være verdens langsommeste retur jeg kender til.Troede at retur via kort kun kunne tage op til 8 dage og de altid var hurtigere (gennemsnit 2dage) men så mødte jeg proshop......
__label__5 ,Proshop leverer hurtigt og effektivt de produkter  jeg har bestilt. Professionelle partnere. Tak for det.
__label__5 ,Verdens bedste service og butik-De har virkelig forstået at indordne sig til forbrugernes bedste.
__label__5 ,Fejl på vandkøler i PCFantastisk oplevelse vedrørende en defekt vandkølerJeg afleverer lørdag middagComputer klar til afhentning mandag formiddagSender mail mandag middag om Proshop vil sende med pakkepost  det  vil de gerne. Modtaget pakken ved posthus tirsdag eftermiddag1.5 arbejdsdag inklusiv transport er imponerede11/10 smileys herfra
__label__5 ,hurtig  nemt  og holder hvad de lover
__label__5 ,Hurtig og effektivt. Postnord var langsomme  men Proshop var hurtige og effektive.
__label__1 ,det er nok den mest løgnagtige butik i danmark de kan ikke skaffe de vare de lover og udsætter leveringen hele tiden  luk den butik
__label__5 ,Modtog pakken dagen efter jeg bestilte den. Har samme oplevelse hver gang jeg bestiller hos proshop  så ***** herfra
__label__5 ,Har tit handlet hos Proshop gennem årene..det er bare den bedste 
__label__5 ,Altid gode varer til fin pris og hurtig levering
__label__5 ,Altid hurtig levering uden problemer! En af de bedste online shops i DK!
__label__5 ,5 stjerner til Proshop og især 5 stjerner for jeres kundeservice! Tak til Tanja og Rasmus....5000 stjerner for jeres Helle  som uden tvivl  er det skønneste menneske jeg har talt med. Du var forskellen da PostNord ikke kunne levere den service der var brug for. Tak og rigtig god sommer til dig og resten af holdet hos Proshop Mvh Jan
__label__4 ,Hurtig ekspedition og levering  billig fragt.
__label__5 ,Rigtig god App og god og nem service
__label__2 ,Der er sket noget med Zalando. De har laaang leveringstid og de sender flere små pakker af gangen. De skriver jeg kan glæde mig til at modtage varerne  og at de er på vej. Jeg får flere mails  med at de er på vej  og pludselig får jeg mail om at de har modtaget min returnering. Jeg har ikke modtaget noget  og derfor kan jeg jo ikke returnere det. Det viser sig så at pakken er gået tabt  siger de i kundeservice ?Øv  jeg er ked af at Zalando ikke er det samme.Bestillingen af varerne går som altid hurtigt  men leveringen………øv siger jeg igen.
__label__1 ,De trak penge da ordren var lagt  og trak så pengene IGEN 3 dage senere  således at min konto gik i minus og det var sidst på måneden. Ringede ind og beskeden var at jeg skulle sende bevis for min påstand  for de kunne ikke se  at de havde trukket pengene 2 gange. Så det sendte jeg. Dagen efter ringede jeg igen  de kunne nu se både mine dokumenter samt deres dobbelt træk fra konto  så sagen blev sendt til en vurderings afdeling  som så skulle vurdere om jeg havde krav på tilbage betaling  min konto står stadig i minus  det sidst på måneden og jeg er SULTEN... beder dem lave en straks udbetaling da det jo er dem der har taget penge fra mig  men nej  sagsbehandlingstiden er op til 5 dage  sådan er det bare. Klager endnu engang på 3 dagen  b'er dem lave en straks udbetaling endnu engang og godtgøre for den ulejlighed de haf sag mig i.. Men nej til at straksoverføre igen med henvisning til sagsbehandlingstiden og godtgørelse bliver det heller ikke noget af.. Så zalando kan bare tage penge der ikke deres og åbenbart beholde dem som det passer dem.. Jeg fik pengene på 4 dagen = lønningsdag 4 dage sidst på måneden uden penge det sku træls og jeg skal betale banken for overtrækket...
__label__1 ,"Lad mig starte med at sige at jeg flere gange har handlet med tilfredshed tidligere. Det er dog slut nu. Jeg har følgende historie: For nyligt købte jeg en flot sweatshirt  som jeg modtog rettidigt. Jeg valgte at tage sweatshirt i brug efter nogle uger. Jeg havde ikke vasket sweatshirt før brug. Under sweatshirt havde jeg en sort Levis t-shirt. Til min gru opdager jeg at sweatshirten fuldstændig har ""fnulret"" meget voldsomt  da jeg tager den af senere på dagen  således at min t-shirt er totalt ""indsmurt"" i fnuller. Jeg prøver desperat at fjerne fnul med fnugrulle - men det er helt umuligt. Jeg vælger derfor at tage fat på Zalando  hvor jeg beskriver historie. Zalando melder tilbage at de beklager gener - og at jeg vil få refunderet beløb for sweatshirt. Jeg vælger at skrive tilbage at jeg jo også havde en t-shirt som var blevet ødelagt (jeg har ikke købt denne hos Zalando - men den kan fås for 199 - hos dem). Jeg får så ny mail fra Zalando  hvor de skriver ""Vi kan desværre ikke give en kompensation for t-shirten. Men vi kan anbefale dig at benytte en fnugrulle  som burde tage det meste fnuller. Beklager ulejligheden"". Jeg skal indskyde at jeg allerede havde meldt til Zalando at det var helt umuligt at gøre t-shirt ren med fnugrulle. Jeg må ærligt indrømme at jeg synes det er meget dårlig service i mine øjne. Beløbet overlever jeg nok. Men det har været en øjenåbner i forhold til hvor dårlig service der kan leveres fra et stort tysk firma  kontra en lokal dansk fysisk tøjbutik. Jeg har meldt at jeg har lavet mit sidste indkøb hos Zalando (men det overlever de jo nok). P.S.: Skylder at sige at der har været hurtigt svar på mail fra Zalando i forløbet. Så det har været positivt."
__label__1 ,Zalando har virkelig slækket på en ellers god service; jeg har nu flere gange opleveret at returnere en ordre  men har alligevel fået en rykker eller også er ordren ikke registreret retur i Zalandos system. Det ærger mig virkelig meget  for jeg har været rigtig glad for at handle der.
__label__1 ,Hej Zalando.Jeg skriver og er rigtig skuffetJeg bestilte en vare hos jer med en faktura da jeg ville være sikker på den passede før jeg betalte.Har så fået smidt regningen ud som helt og holdent er min egen fejl.Har så idag modtaget en rykker på brev hvor jeres rykker gebyr er 200?! Kr med betalingsfrist for 5 dage siden???Ringede ind prøvede at snakke med jeres telefon folk. Hvor jeg fik at vide jeg havde modtaget 2 mails for inden.Tjekker så mens hun er i røret både alm og spam indbakken har intet modtaget.. hvor til jeg så spørger hende om der ikke er noget at gøre hvis jeg betaler med det samme måske man kunne halvere rykker gebyret for det er jo stadig lidt min egen fejl på trods af jeg ikke har modtaget andet end en rykker med poster som er dateret for mere end 10 dage siden  med en betaling som også er udløbet..Men nej der var ikke noget at gøre hvortil jeg så får at vide at jeg har bare at betale med det samme og håbe på den går hurtig igennem for den er allerede på vej til inkasso?? Det er sgu ikke helt okay hvis det er sådan i behandler folk til daglig specielt ikke hvis i forventer at få flere af vores penge en anden gang
__label__2 ,Jeg har altid været glad for at handle hos zalando  men det er som servicen er begyndt at halte.. leveringstiden er blevet vildt lang  og man skal vente 8-10 dage på en levering.. jeres konkurrent boozt kommer nok til at stjæle en del af jeres kunder  hvis i ikke højner niveauet igen :)
__label__5 ,Jeg elsker Zaladnozalando har så mange forskellige god mærker og noget for en hver smag  kan kun anbefale dem køb køb køb
__label__4 ,Handlet flere gange. Gode produkter  nemt at bestille og nemt at returnere.
__label__5 ,Alt til ug. Billige priser. Nem returnering. Samme pose og returlabel  så man ikke skal finde printer.
__label__2 ,Hej betalt min regning ( troede jeg) den var åbenbart ikke gået igennem. Skulle så betale 100kr ekstra ved 1 rykker - det er ok ved rykker nr 2  men ikke ved rykker nr 1- Så nu finder jeg et andet sted at handle :-(
__label__5 ,Super godt.Hurtig levering  og fine priser.
__label__2 ,Jeg har bestilt et par sandaler ved Zalando og modtaget pakken i dag. Da jeg modtager den  har de lagt en str. 36 i pakken i stedet for en str. 38  som var størrelsen der rigtigt var bestilt. De var købt til en ferie på søndag  så nu kan jeg selv betale for returnering  og ikke bruge sandalerne til noget som helst. irriterende når man køber en vare med formål  men at man i stedet så modtager noget helt andet…
__label__1 ,Irriterende at få en rykker på 100 kr for manglende betaling  fordi de godt nok skriver de har modtaget ens retur (efter 400År) men opdatere det ikke… de skriver kun at de har ekstraordinært travlt :/
__label__3 ,Har køb hos Zalando i mange år og har været storforbruger. Er dog efterhånden så irriteret over  at varerene nu kommer alle mulige steder fra som gør  at leveringstiden er sååå lang. Samtidig er der flere og flere varer  der får klistret porto på 29 kr. på.Oftere og oftere kommer jeg til udkassen  ser der er porto på nogle af varene og at de kommer i flere pakker og så gider jeg bare ikke handle og logger af...
__label__1 ,Synes godt nok det er for dårligt at man betaler så mange penge for at tingene går i stykker bare én måned efter man har købt det. Hvor er det dog ringe kvalitet af såkaldte “mærkevarer”
